emp_no,dept_no,from_date,to_date
67154,d004,1999-07-28,1999-11-21
67164,d004,1993-09-13,9999-01-01
67193,d009,1991-02-24,9999-01-01
67202,d005,1989-06-09,9999-01-01
67223,d007,1999-06-29,2000-02-14
67230,d005,1989-06-05,9999-01-01
67238,d007,1997-05-06,9999-01-01
67247,d002,1988-05-22,9999-01-01
67265,d004,1998-08-12,9999-01-01
67265,d009,1998-04-10,1998-08-12
67294,d005,1995-10-29,9999-01-01
67299,d005,1995-09-02,9999-01-01
67320,d001,1987-05-10,9999-01-01
67335,d002,1989-02-20,9999-01-01
67365,d004,1985-08-20,9999-01-01
67376,d003,1994-03-25,9999-01-01
67387,d002,1996-12-16,9999-01-01
67390,d004,1988-12-09,9999-01-01
67428,d005,1997-01-17,9999-01-01
67440,d009,2000-01-25,9999-01-01
67454,d004,1992-06-18,9999-01-01
67488,d003,1989-09-18,1996-05-02
67497,d007,1992-02-06,2001-12-27
67510,d002,1990-08-18,9999-01-01
67521,d004,1985-09-12,9999-01-01
67548,d003,1998-06-27,9999-01-01
67551,d005,1987-03-12,9999-01-01
67559,d002,1987-08-22,9999-01-01
67561,d005,1994-10-20,1995-08-03
67563,d005,1998-01-07,9999-01-01
67567,d008,1998-12-26,9999-01-01
67592,d008,1985-06-15,9999-01-01
67596,d007,1993-01-21,9999-01-01
67618,d007,1991-06-13,9999-01-01
67641,d005,1991-12-13,2000-01-25
67653,d005,1990-07-18,9999-01-01
67690,d007,1997-09-14,9999-01-01
67691,d008,1993-04-16,9999-01-01
67697,d004,1997-07-24,9999-01-01
67709,d009,1989-07-21,9999-01-01
67712,d004,1985-04-13,9999-01-01
67719,d004,1997-01-25,1997-03-31
67766,d001,1985-04-08,9999-01-01
67798,d005,1985-05-12,9999-01-01
67810,d004,1991-12-23,1998-06-11
67812,d005,1997-01-13,9999-01-01
67822,d008,1992-05-08,9999-01-01
67823,d005,1988-02-17,9999-01-01
67826,d002,1993-12-23,9999-01-01
67828,d003,1993-04-07,1997-04-22
67851,d004,1998-11-13,9999-01-01
67859,d005,1998-08-23,9999-01-01
67859,d008,1990-02-13,1998-08-23
67863,d005,1991-03-22,9999-01-01
67873,d008,1990-11-22,9999-01-01
67879,d004,1991-10-21,9999-01-01
67885,d005,1991-07-25,9999-01-01
67891,d005,1996-01-29,9999-01-01
67902,d002,1986-11-11,9999-01-01
67920,d004,1987-10-31,9999-01-01
67921,d006,1998-08-03,9999-01-01
67945,d004,1987-10-24,1991-09-14
67948,d004,2000-12-26,9999-01-01
67948,d008,1987-06-30,2000-12-26
67958,d005,1998-07-16,9999-01-01
67973,d005,1996-10-16,9999-01-01
67977,d005,1996-01-07,9999-01-01
67992,d005,1994-07-30,9999-01-01
67998,d005,1989-11-04,9999-01-01
68023,d004,1991-04-28,1998-08-11
68023,d006,1998-08-11,9999-01-01
68034,d008,1986-04-09,9999-01-01
68090,d005,1999-11-12,9999-01-01
68104,d005,1993-03-14,9999-01-01
68151,d005,1994-06-19,9999-01-01
68179,d004,1985-08-13,9999-01-01
68196,d004,1998-06-17,9999-01-01
68221,d004,1999-10-25,9999-01-01
68221,d005,1999-09-01,1999-10-25
68240,d005,2001-10-21,9999-01-01
68240,d009,1999-08-03,2001-10-21
68250,d005,1986-12-24,1994-09-03
68254,d009,1992-03-09,9999-01-01
68256,d002,1993-08-21,9999-01-01
68268,d004,1987-04-09,9999-01-01
68276,d005,1986-03-21,1990-05-27
68285,d005,1995-12-29,9999-01-01
68288,d001,1999-12-17,9999-01-01
68288,d003,1997-12-16,1999-12-17
68300,d007,1989-07-05,9999-01-01
68305,d008,1995-06-23,9999-01-01
68342,d007,1997-10-02,9999-01-01
68356,d001,1998-04-03,2000-01-08
68356,d009,2000-01-08,9999-01-01
68377,d005,1995-11-04,9999-01-01
68385,d005,1993-01-10,2000-02-09
68385,d008,2000-02-09,9999-01-01
68392,d002,1991-07-15,9999-01-01
68396,d005,1995-05-31,2001-07-13
68409,d004,1990-08-20,1993-04-03
68440,d004,1992-12-12,9999-01-01
68443,d008,1990-04-05,1994-09-24
68446,d002,1996-01-29,9999-01-01
68450,d005,1988-03-23,1999-10-31
68450,d008,1999-10-31,9999-01-01
68452,d005,1999-08-03,1999-10-02
68464,d007,1994-06-09,9999-01-01
68467,d005,1989-06-04,9999-01-01
68500,d007,1988-10-11,1993-11-06
68500,d009,1993-11-06,9999-01-01
68515,d003,1995-09-28,9999-01-01
68540,d005,1992-02-09,1997-03-21
68540,d008,1997-03-21,9999-01-01
68553,d003,1993-08-10,9999-01-01
68557,d007,1991-08-07,9999-01-01
68563,d005,1993-09-15,9999-01-01
68570,d003,1994-09-26,9999-01-01
68576,d007,1999-01-20,9999-01-01
68580,d007,1988-01-28,1996-01-09
68580,d009,1996-01-09,9999-01-01
68598,d002,1987-04-12,9999-01-01
68605,d007,1987-10-31,2000-04-09
68626,d004,1996-08-31,9999-01-01
68657,d008,1990-05-19,9999-01-01
68667,d001,1995-06-25,9999-01-01
68668,d004,1989-12-26,1990-07-12
68676,d001,1998-09-17,9999-01-01
68677,d007,1995-02-16,9999-01-01
68678,d005,1990-09-30,1997-08-17
68690,d005,1986-04-04,9999-01-01
68712,d002,1988-04-10,1999-03-18
68746,d004,1990-04-04,9999-01-01
68751,d004,1997-11-21,2001-05-11
68751,d005,1992-04-20,1997-11-21
68752,d004,1998-05-30,9999-01-01
68757,d008,1995-08-05,1998-03-05
68758,d004,1988-05-14,9999-01-01
68764,d007,1985-10-18,9999-01-01
68772,d004,1995-02-18,9999-01-01
68779,d004,1998-10-29,1999-10-28
68779,d009,1999-10-28,9999-01-01
68802,d007,1999-03-20,2000-08-29
68803,d007,1994-03-31,9999-01-01
68805,d004,1995-07-01,9999-01-01
68836,d007,1999-07-24,9999-01-01
68842,d005,1990-05-24,9999-01-01
68849,d003,1998-07-04,9999-01-01
68851,d002,1985-04-25,9999-01-01
68863,d004,1994-08-07,9999-01-01
68871,d003,1991-04-29,9999-01-01
68873,d004,1987-10-27,1991-05-24
68886,d005,1988-04-06,9999-01-01
68887,d009,1993-05-18,9999-01-01
68889,d007,1985-09-07,9999-01-01
68893,d004,1999-05-22,9999-01-01
68927,d005,1990-02-11,1999-05-19
68937,d004,1991-04-05,9999-01-01
68944,d005,1987-04-11,9999-01-01
68945,d004,1997-07-27,9999-01-01
68958,d001,1998-05-29,9999-01-01
68959,d008,1994-09-26,9999-01-01
68970,d008,1987-02-19,9999-01-01
68974,d005,1991-10-13,9999-01-01
68975,d008,1987-11-11,9999-01-01
68977,d004,2000-11-27,9999-01-01
68977,d005,1996-04-17,2000-11-27
68978,d009,1986-04-13,9999-01-01
68985,d002,1990-07-13,9999-01-01
68993,d005,1994-11-30,9999-01-01
68994,d005,1997-11-18,9999-01-01
69045,d001,1998-01-29,9999-01-01
69052,d007,1995-08-05,9999-01-01
69056,d004,1993-11-18,1998-05-07
69056,d009,1998-05-07,9999-01-01
69058,d008,1994-02-13,9999-01-01
69066,d007,1987-11-07,9999-01-01
69123,d005,1992-09-17,9999-01-01
69145,d005,1988-03-11,9999-01-01
69146,d005,1997-03-31,2001-04-28
69170,d005,1997-01-12,9999-01-01
69170,d008,1985-09-07,1997-01-12
69178,d004,1996-01-22,9999-01-01
69186,d007,1987-04-05,9999-01-01
69222,d004,1985-11-30,9999-01-01
69224,d005,1987-08-12,1993-01-19
69239,d004,1993-03-22,9999-01-01
69262,d004,1993-01-03,9999-01-01
69290,d005,1996-10-27,9999-01-01
69297,d004,1986-11-09,9999-01-01
69324,d004,1995-01-31,9999-01-01
69343,d005,1990-10-01,9999-01-01
69352,d004,1988-03-07,1991-02-16
69352,d009,1991-02-16,9999-01-01
69361,d007,1997-08-13,9999-01-01
69364,d005,1999-03-28,2000-07-01
69377,d004,1991-11-19,9999-01-01
69381,d009,1986-11-10,9999-01-01
69385,d003,1990-06-13,9999-01-01
69400,d007,1988-09-13,9999-01-01
69401,d009,1992-12-28,9999-01-01
69412,d005,1995-09-23,9999-01-01
69422,d004,1992-01-31,9999-01-01
69430,d005,1987-03-02,9999-01-01
69441,d004,1999-09-19,9999-01-01
69449,d005,1995-11-23,9999-01-01
69464,d008,1993-11-12,9999-01-01
69475,d007,1992-07-07,1997-05-06
69475,d009,1997-05-06,9999-01-01
69498,d002,1987-10-12,9999-01-01
69521,d007,1991-10-01,9999-01-01
69535,d005,1999-05-17,9999-01-01
69543,d007,1989-08-11,9999-01-01
69546,d005,1993-01-23,9999-01-01
69555,d001,1996-06-28,9999-01-01
69555,d007,1996-02-07,1996-06-28
69556,d007,1994-01-29,9999-01-01
69557,d008,1988-08-18,9999-01-01
69575,d008,1993-09-08,1994-12-18
69587,d004,1989-11-01,9999-01-01
69604,d008,1993-03-09,1994-11-10
69608,d004,1996-08-26,1996-12-18
69608,d006,1996-12-18,1997-07-04
69609,d004,1991-08-26,9999-01-01
69634,d005,1988-08-31,9999-01-01
69642,d005,1993-11-08,9999-01-01
69648,d006,1993-06-29,9999-01-01
69650,d002,1996-01-13,9999-01-01
69655,d005,1997-12-08,1999-11-23
69655,d006,1996-06-14,1997-12-08
69657,d005,1997-11-02,2000-02-10
69668,d004,1999-06-24,9999-01-01
69701,d005,1990-01-23,2001-04-12
69725,d005,1985-09-25,9999-01-01
69740,d005,1987-02-21,1994-03-03
69747,d005,1987-10-25,1995-11-16
69754,d007,1993-03-01,9999-01-01
69756,d005,1995-12-21,2000-07-28
69764,d007,1988-08-01,1998-05-03
69765,d004,1997-11-06,9999-01-01
69787,d007,1986-09-14,9999-01-01
69796,d004,1993-09-29,9999-01-01
69816,d004,1991-07-06,9999-01-01
69817,d004,1988-10-19,1995-05-08
69817,d009,1995-05-08,9999-01-01
69822,d007,1996-03-02,9999-01-01
69837,d005,1993-05-25,9999-01-01
69841,d005,1993-01-02,9999-01-01
69845,d004,1996-04-15,1996-10-12
69845,d009,1996-10-12,9999-01-01
69847,d009,1996-10-01,2001-09-05
69854,d007,1992-07-03,1993-10-09
69854,d009,1993-10-09,9999-01-01
69857,d005,1995-08-20,9999-01-01
69863,d006,1987-03-13,9999-01-01
69871,d004,1987-08-23,9999-01-01
69884,d005,1995-05-24,9999-01-01
69899,d002,1991-09-14,9999-01-01
69905,d004,1990-01-20,9999-01-01
69909,d002,1993-03-17,9999-01-01
69916,d005,1987-06-30,9999-01-01
69928,d001,2002-04-23,9999-01-01
69928,d003,1995-04-10,2002-04-23
69946,d004,1995-10-14,9999-01-01
69953,d008,1989-08-01,9999-01-01
69956,d005,1998-04-13,1998-12-23
69956,d008,1998-12-23,9999-01-01
69975,d005,1988-03-08,1995-08-25
69976,d004,1985-07-04,9999-01-01
69983,d005,1999-11-28,2002-06-18
70003,d008,1985-04-18,9999-01-01
70004,d008,1985-04-15,9999-01-01
70007,d007,1993-10-29,9999-01-01
70013,d004,1989-04-18,9999-01-01
70016,d008,1992-06-28,9999-01-01
70022,d004,1987-07-08,9999-01-01
70030,d007,1997-10-07,1999-02-15
70039,d005,1991-08-04,9999-01-01
70052,d005,1997-05-09,2002-07-14
70057,d005,1999-10-05,2000-04-23
70057,d008,2000-04-23,9999-01-01
70083,d004,1989-01-05,9999-01-01
70085,d004,1985-11-30,9999-01-01
70098,d005,1994-07-16,9999-01-01
70098,d009,1994-04-23,1994-07-16
70109,d004,1994-09-10,9999-01-01
70122,d005,1995-08-20,9999-01-01
70124,d006,1987-03-27,9999-01-01
70175,d007,1996-04-21,9999-01-01
70179,d005,1994-06-13,9999-01-01
70198,d007,1986-11-29,9999-01-01
70201,d008,1999-03-18,9999-01-01
70230,d007,1999-12-11,9999-01-01
70233,d006,1990-01-27,9999-01-01
70241,d007,1998-06-07,9999-01-01
70243,d005,2000-01-16,9999-01-01
70246,d001,1992-11-06,9999-01-01
70277,d001,2001-06-09,9999-01-01
70277,d007,1995-10-25,2001-06-09
70279,d007,1986-10-28,2001-03-03
70289,d005,1989-02-04,9999-01-01
70299,d003,1985-11-22,9999-01-01
70300,d008,1990-02-22,1993-08-18
70304,d005,2002-06-15,9999-01-01
70304,d006,1999-09-09,2002-06-15
70320,d005,1990-04-08,1991-03-28
70335,d005,1996-09-13,9999-01-01
70336,d007,1990-03-23,9999-01-01
70344,d007,1992-03-23,1998-03-19
70344,d009,1998-03-19,9999-01-01
70351,d007,1990-11-28,9999-01-01
70354,d005,1997-10-14,9999-01-01
70358,d005,1990-07-05,9999-01-01
70366,d005,1992-06-03,9999-01-01
70368,d007,1997-04-10,9999-01-01
70380,d007,1994-12-18,9999-01-01
70390,d007,1991-10-19,9999-01-01
70394,d005,1991-05-10,1994-05-07
70404,d005,1997-11-02,1999-06-15
70404,d008,1999-06-15,9999-01-01
70411,d005,1998-08-29,9999-01-01
70424,d005,1989-04-04,9999-01-01
70434,d007,1991-12-15,9999-01-01
70435,d001,1997-08-08,9999-01-01
70435,d007,1985-08-27,1997-08-08
70451,d006,1986-01-15,9999-01-01
70453,d001,1997-05-14,2002-01-02
70453,d007,1996-07-06,1997-05-14
70470,d008,1987-07-05,9999-01-01
70472,d002,1986-03-27,9999-01-01
70500,d004,1989-10-14,1993-12-17
70507,d005,1998-09-30,9999-01-01
70546,d005,1989-07-02,9999-01-01
70556,d004,1989-12-01,9999-01-01
70557,d005,1996-04-15,2002-05-11
70571,d001,1987-09-17,9999-01-01
70574,d003,1995-10-02,2000-12-17
70575,d005,2001-02-23,9999-01-01
70575,d006,1986-08-09,2001-02-23
70589,d005,1992-09-07,9999-01-01
70609,d001,1994-05-28,9999-01-01
70613,d004,1992-02-16,9999-01-01
70620,d004,1998-09-16,9999-01-01
70621,d004,1999-03-20,9999-01-01
70633,d005,1993-05-30,1993-07-07
70635,d003,1996-10-29,9999-01-01
70641,d005,1992-04-27,1995-09-16
70642,d005,1991-06-05,9999-01-01
70655,d004,1988-02-06,1995-07-10
70663,d004,1985-02-18,1997-06-21
70663,d006,1997-06-21,9999-01-01
70673,d005,1993-09-30,9999-01-01
70675,d007,1991-06-03,9999-01-01
70679,d001,1992-04-18,9999-01-01
70698,d004,1998-05-15,9999-01-01
70704,d004,1997-05-29,9999-01-01
70715,d004,1989-02-02,9999-01-01
70738,d005,1995-08-24,9999-01-01
70738,d009,1994-03-09,1995-08-24
70761,d004,1994-07-16,2000-02-11
70783,d007,1995-04-06,1997-07-21
70783,d009,1997-07-21,9999-01-01
70785,d005,1987-05-16,9999-01-01
70804,d007,1989-05-06,9999-01-01
70806,d005,1993-05-28,9999-01-01
70823,d003,1994-02-08,1995-10-10
70832,d001,1986-01-02,9999-01-01
70842,d003,1996-07-24,9999-01-01
70850,d001,1995-03-13,9999-01-01
70854,d004,1993-08-14,1998-03-26
70856,d006,1996-01-09,9999-01-01
70862,d005,1998-06-10,9999-01-01
70866,d003,1992-02-16,9999-01-01
70867,d007,1988-12-24,1994-07-01
70870,d004,1999-09-16,9999-01-01
70876,d004,1999-11-21,1999-11-25
70876,d008,1999-11-12,1999-11-21
70877,d004,1994-03-06,9999-01-01
70907,d004,1993-05-12,9999-01-01
70907,d005,1986-12-04,1993-05-12
70936,d003,1992-05-10,1994-10-16
70940,d007,1998-03-10,9999-01-01
70948,d004,2001-03-31,2001-05-09
70948,d008,1997-07-18,2001-03-31
70952,d005,1998-10-30,9999-01-01
70963,d003,1988-04-29,9999-01-01
70988,d007,1986-09-22,1989-07-05
71003,d001,1989-07-12,9999-01-01
71044,d002,1996-09-04,9999-01-01
71074,d008,1997-09-28,9999-01-01
71078,d005,1999-06-24,9999-01-01
71088,d004,1998-06-18,2001-07-24
71094,d005,1992-01-13,9999-01-01
71099,d004,1986-07-03,9999-01-01
71104,d004,1990-06-10,9999-01-01
71118,d007,1985-08-07,9999-01-01
71122,d003,1991-03-14,9999-01-01
71141,d003,1992-02-17,9999-01-01
71165,d004,1985-05-27,9999-01-01
71168,d007,1988-11-03,9999-01-01
71172,d004,1990-09-12,9999-01-01
71195,d005,1997-08-08,9999-01-01
71198,d004,1985-04-20,9999-01-01
71202,d001,1985-10-16,9999-01-01
71204,d005,1989-08-26,9999-01-01
71216,d009,1992-05-08,9999-01-01
71228,d004,1993-07-31,1995-11-16
71230,d004,1986-08-25,1989-09-01
71230,d009,1989-09-01,9999-01-01
71232,d004,1996-12-19,9999-01-01
71241,d005,1989-12-08,9999-01-01
71250,d007,1994-11-06,9999-01-01
71254,d005,1991-08-05,9999-01-01
71260,d008,1995-02-23,9999-01-01
71266,d005,1989-09-10,1991-03-30
71266,d008,1991-03-30,1993-03-04
71270,d003,1987-05-28,9999-01-01
71274,d007,1997-07-26,9999-01-01
71296,d004,1998-03-09,9999-01-01
71296,d005,1995-02-23,1998-03-09
71317,d007,1992-01-07,1995-09-20
71321,d004,1989-04-11,9999-01-01
71326,d004,1995-12-15,2001-05-06
71326,d006,2001-05-06,2002-05-29
71336,d007,1998-02-03,9999-01-01
71344,d004,1998-03-16,2002-03-26
71345,d004,1990-02-19,2000-05-23
71355,d003,1998-07-31,2002-07-21
71371,d005,1997-02-09,9999-01-01
71390,d005,1995-03-28,9999-01-01
71431,d001,1998-08-02,9999-01-01
71436,d004,1986-05-27,9999-01-01
71443,d005,1997-12-19,9999-01-01
71465,d008,1994-12-05,9999-01-01
71481,d005,1989-04-08,9999-01-01
71483,d003,1997-04-05,9999-01-01
71484,d004,1993-12-16,1996-03-31
71496,d005,1992-09-10,1994-03-17
71500,d003,1992-08-29,9999-01-01
71506,d005,1997-06-15,2002-01-26
71521,d007,1989-07-02,9999-01-01
71540,d005,1993-12-17,9999-01-01
71547,d004,1992-12-31,9999-01-01
71564,d005,1998-11-08,9999-01-01
71591,d004,1999-01-12,9999-01-01
71648,d005,1996-02-17,1996-09-06
71659,d008,1986-05-10,1986-07-21
71665,d007,1994-03-09,9999-01-01
71667,d004,1989-01-26,9999-01-01
71674,d005,1987-12-24,9999-01-01
71684,d004,1989-02-27,9999-01-01
71690,d004,1991-10-26,9999-01-01
71691,d005,1995-08-29,9999-01-01
71702,d009,1992-06-05,1993-06-14
71710,d005,1997-12-15,9999-01-01
71733,d002,1987-08-14,1995-02-16
71735,d004,1988-03-02,9999-01-01
71742,d005,1996-12-02,9999-01-01
71756,d004,1996-03-27,9999-01-01
71784,d007,1997-08-25,9999-01-01
71789,d002,1998-07-31,9999-01-01
71808,d004,1996-04-12,9999-01-01
71811,d006,1990-01-30,9999-01-01
71816,d007,1990-11-26,9999-01-01
71822,d004,1995-01-12,1998-01-12
71822,d005,1993-05-04,1995-01-12
71828,d005,1986-01-10,9999-01-01
71841,d004,1998-06-07,9999-01-01
71841,d008,1997-01-23,1998-06-07
71865,d004,1999-03-12,2001-01-20
71872,d006,1986-03-07,9999-01-01
71889,d005,1988-07-04,1996-10-17
71889,d008,1996-10-17,9999-01-01
71902,d003,1987-02-10,1995-10-03
71906,d004,1989-04-03,9999-01-01
71909,d004,1994-04-03,1994-06-16
71909,d005,1993-10-10,1994-04-03
71935,d004,1987-08-27,2001-12-07
71947,d005,1990-02-20,9999-01-01
71957,d007,1986-01-27,9999-01-01
71986,d003,1998-12-24,1999-10-05
71987,d001,1999-02-03,2002-07-31
71987,d007,2002-07-31,9999-01-01
71992,d008,1985-08-24,9999-01-01
71993,d003,1985-08-24,9999-01-01
72023,d006,1985-02-11,9999-01-01
72028,d004,1988-02-25,9999-01-01
72046,d004,1990-01-23,9999-01-01
72059,d004,1996-12-29,2002-07-22
72066,d002,1991-11-14,9999-01-01
72068,d005,1991-02-12,9999-01-01
72071,d003,1990-01-24,9999-01-01
72082,d005,1989-01-11,1992-12-27
72082,d008,1992-12-27,9999-01-01
72108,d005,1999-05-01,9999-01-01
72111,d004,1997-04-20,2002-06-20
72111,d006,1996-02-10,1997-04-20
72121,d004,1992-02-06,9999-01-01
72121,d005,1989-12-08,1992-02-06
72159,d004,1994-12-06,2002-01-24
72159,d005,1991-09-21,1994-12-06
72166,d004,1995-04-20,2000-07-04
72167,d005,1989-06-11,1996-05-27
72167,d008,1996-05-27,9999-01-01
72173,d004,1992-04-07,9999-01-01
72197,d002,1994-07-19,1997-10-24
72208,d007,1987-05-18,9999-01-01
72219,d004,1996-10-24,9999-01-01
72226,d007,1994-11-05,9999-01-01
72237,d005,1992-04-11,9999-01-01
72267,d007,1995-06-27,9999-01-01
72268,d004,1995-10-22,9999-01-01
72297,d004,1988-12-14,1995-01-22
72297,d009,1995-01-22,9999-01-01
72303,d005,1995-12-21,9999-01-01
72315,d001,1991-08-24,9999-01-01
72320,d005,1993-10-28,1995-08-01
72349,d005,1991-06-26,9999-01-01
72358,d007,1989-06-21,9999-01-01
72373,d005,1986-06-28,9999-01-01
72380,d004,1988-08-28,9999-01-01
72383,d005,1987-02-24,9999-01-01
72392,d001,1997-09-28,9999-01-01
72399,d006,1994-05-10,9999-01-01
72421,d005,1992-01-04,9999-01-01
72423,d008,1996-10-08,1999-08-13
72433,d005,1998-01-02,2000-01-17
72446,d001,2001-07-05,9999-01-01
72446,d007,1997-12-02,2001-07-05
72484,d005,1999-10-29,9999-01-01
72497,d004,1988-05-14,9999-01-01
72503,d007,1990-04-23,9999-01-01
72506,d001,1997-07-23,9999-01-01
72508,d003,1994-07-18,9999-01-01
72509,d004,1986-10-08,9999-01-01
72510,d005,1988-07-07,9999-01-01
72523,d005,1991-06-16,9999-01-01
72588,d004,1998-04-06,9999-01-01
72591,d003,1990-02-06,9999-01-01
72609,d007,1988-01-24,1988-09-15
72610,d004,1990-01-22,9999-01-01
72613,d004,1990-08-31,9999-01-01
72634,d002,1998-10-05,9999-01-01
72634,d003,1987-12-24,1998-10-05
72638,d005,1988-10-24,9999-01-01
72643,d007,1999-04-20,2002-07-07
72661,d003,1986-10-23,9999-01-01
72678,d002,1989-02-21,2000-06-05
72696,d005,1996-12-04,9999-01-01
72710,d001,1992-05-10,9999-01-01
72715,d005,1999-03-05,9999-01-01
72716,d006,1989-03-26,1999-09-30
72718,d006,1998-01-21,9999-01-01
72723,d007,1999-06-14,9999-01-01
72732,d003,1993-08-06,9999-01-01
72733,d004,1997-12-03,9999-01-01
72741,d003,1997-05-18,9999-01-01
72753,d008,1990-01-01,9999-01-01
72757,d004,2001-07-10,9999-01-01
72757,d009,1991-04-02,2001-07-10
72776,d005,1994-03-15,9999-01-01
72788,d007,1993-09-28,1999-04-25
72795,d004,1992-10-14,9999-01-01
72809,d007,1998-07-22,9999-01-01
72818,d004,1997-10-09,1998-06-06
72828,d008,1990-01-30,9999-01-01
72846,d005,1985-02-23,1994-06-01
72846,d008,1994-06-01,9999-01-01
72855,d005,1999-02-16,2001-03-07
72864,d005,1991-04-18,9999-01-01
72877,d007,1990-09-19,2002-05-21
72879,d007,1998-09-27,9999-01-01
72882,d004,1989-05-17,9999-01-01
72897,d005,1987-11-13,9999-01-01
72910,d004,1997-05-15,9999-01-01
72916,d002,1999-09-28,9999-01-01
72919,d004,1989-01-04,1997-01-15
72923,d005,1985-05-01,9999-01-01
72924,d004,1999-07-22,9999-01-01
72927,d002,1998-03-22,9999-01-01
72930,d004,1996-08-19,1999-07-11
72930,d006,1999-07-11,9999-01-01
72933,d008,1994-11-03,9999-01-01
72947,d004,1986-07-10,9999-01-01
72966,d002,1994-09-29,2001-06-01
72966,d003,2001-06-01,9999-01-01
72973,d005,1998-10-01,1999-11-14
72986,d005,1987-07-11,9999-01-01
73001,d005,1992-04-09,9999-01-01
73020,d007,1995-06-20,9999-01-01
73021,d009,1996-08-17,9999-01-01
73028,d004,1985-09-24,1991-02-03
73034,d007,1991-11-16,1994-09-01
73039,d004,1986-01-18,1987-10-22
73072,d004,1989-05-18,9999-01-01
73107,d001,1996-03-03,9999-01-01
73107,d007,1989-10-19,1996-03-03
73115,d004,1996-12-27,1998-10-25
73115,d008,1991-08-14,1996-12-27
73119,d005,1988-05-18,9999-01-01
73127,d007,1994-07-14,1995-06-21
73133,d007,1989-10-18,1997-10-02
73133,d009,1997-10-02,9999-01-01
73164,d005,1985-07-11,9999-01-01
73174,d005,1993-03-06,2000-08-09
73181,d005,1989-05-01,9999-01-01
73183,d004,1991-06-28,9999-01-01
73184,d004,1992-05-17,1998-09-09
73184,d005,1990-12-05,1992-05-17
73221,d002,1992-12-11,9999-01-01
73227,d004,1995-01-19,9999-01-01
73253,d003,1990-10-12,9999-01-01
73255,d005,1985-12-31,1999-08-25
73255,d008,1999-08-25,9999-01-01
73277,d004,1992-12-09,9999-01-01
73319,d007,1985-07-28,9999-01-01
73340,d002,1986-12-16,1996-07-12
73356,d004,1987-01-21,9999-01-01
73363,d001,1987-02-12,9999-01-01
73406,d006,1985-08-04,9999-01-01
73420,d003,1996-11-08,2002-01-12
73421,d003,1997-06-03,9999-01-01
73426,d003,1989-07-24,1991-05-26
73435,d005,1996-12-01,9999-01-01
73453,d006,1986-05-12,9999-01-01
73476,d005,1985-02-18,1988-12-15
73490,d005,1998-09-24,9999-01-01
73497,d007,1990-05-22,9999-01-01
73507,d004,1995-01-08,9999-01-01
73510,d007,1986-11-26,1991-09-26
73525,d004,2001-04-02,9999-01-01
73525,d005,1999-09-14,2001-04-02
73538,d001,1988-07-29,2000-03-13
73540,d004,1990-08-20,9999-01-01
73544,d005,1999-12-14,2001-09-25
73551,d004,1998-04-09,9999-01-01
73552,d004,1998-03-13,9999-01-01
73577,d004,1994-05-27,9999-01-01
73581,d007,1997-08-28,9999-01-01
73583,d001,1990-11-14,1994-02-20
73583,d009,1994-02-20,9999-01-01
73593,d001,2000-09-16,9999-01-01
73593,d003,1991-04-19,2000-09-16
73619,d005,1994-11-01,2002-02-07
73627,d007,1988-01-09,1999-10-21
73644,d004,1986-10-27,1999-10-28
73644,d006,1999-10-28,9999-01-01
73657,d005,1993-02-12,9999-01-01
73677,d003,1988-03-11,9999-01-01
73695,d005,1992-04-30,9999-01-01
73699,d006,1989-01-21,9999-01-01
73711,d004,1991-10-15,9999-01-01
73720,d004,1989-07-11,9999-01-01
73721,d004,1989-02-11,1996-02-28
73721,d009,1996-02-28,9999-01-01
73728,d005,1992-09-04,2001-11-14
73733,d008,1989-03-02,9999-01-01
73752,d004,1993-10-21,9999-01-01
73754,d005,1997-09-03,9999-01-01
73755,d004,1986-07-22,1988-12-16
73778,d005,1998-02-13,9999-01-01
73815,d005,1996-06-11,9999-01-01
73834,d004,1986-11-24,1992-12-19
73838,d007,1997-09-27,2001-09-06
73851,d004,1989-09-10,9999-01-01
73861,d007,1994-04-10,9999-01-01
73888,d004,1992-11-18,2000-04-24
73888,d006,2000-04-24,9999-01-01
73898,d004,1988-02-17,9999-01-01
73954,d006,1999-01-04,9999-01-01
73964,d002,2000-05-03,9999-01-01
73964,d003,1998-01-25,2000-05-03
73966,d001,1994-08-30,9999-01-01
73967,d004,1998-04-01,9999-01-01
73979,d003,1990-08-27,9999-01-01
74027,d005,1991-01-09,9999-01-01
74040,d005,1990-06-22,1997-06-29
74040,d008,1997-06-29,9999-01-01
74047,d005,1998-08-23,9999-01-01
74054,d001,1993-08-02,9999-01-01
74065,d003,1997-10-05,9999-01-01
74084,d001,1987-06-27,9999-01-01
74094,d006,1998-06-04,9999-01-01
74124,d008,1995-02-15,9999-01-01
74147,d007,1989-04-13,1996-12-01
74154,d007,1985-04-28,1987-05-30
74158,d004,1995-03-17,9999-01-01
74162,d007,1994-10-23,9999-01-01
74188,d004,1994-08-01,9999-01-01
74188,d005,1991-06-22,1994-08-01
74192,d004,1996-11-09,9999-01-01
74195,d002,1998-08-03,9999-01-01
74213,d005,2002-04-22,9999-01-01
74213,d009,1997-05-29,2002-04-22
74224,d005,1998-11-15,2002-01-08
74224,d008,2002-01-08,9999-01-01
74229,d007,1998-01-22,9999-01-01
74236,d004,1999-01-04,9999-01-01
74242,d005,1999-02-06,9999-01-01
74267,d004,1996-05-01,1999-08-06
