emp_no,title,from_date,to_date
33761,Senior Engineer,2001-05-11,9999-01-01
33762,Staff,2000-01-21,9999-01-01
33768,Senior Staff,1996-08-23,9999-01-01
33768,Staff,1987-08-24,1996-08-23
33779,Senior Staff,2001-09-05,9999-01-01
33779,Staff,1995-09-06,2001-09-05
33795,Engineer,1999-03-15,9999-01-01
33796,Senior Staff,1997-10-17,9999-01-01
33796,Staff,1989-10-17,1997-10-17
33799,Senior Staff,1993-10-07,9999-01-01
33799,Staff,1985-10-07,1993-10-07
33802,Assistant Engineer,1989-10-11,1990-07-12
33813,Engineer,1991-03-17,1996-03-16
33813,Senior Engineer,1996-03-16,2001-12-29
33827,Engineer,1988-01-17,1995-10-28
33834,Engineer,1985-07-18,1994-07-18
33834,Senior Engineer,1994-07-18,9999-01-01
33835,Technique Leader,1985-05-08,9999-01-01
33847,Engineer,1999-06-10,1999-12-14
33849,Senior Staff,1993-07-25,9999-01-01
33849,Staff,1987-07-26,1993-07-25
33851,Engineer,1995-09-15,9999-01-01
33852,Senior Staff,1996-06-12,9999-01-01
33852,Staff,1990-06-13,1996-06-12
33867,Senior Engineer,1990-03-28,1991-11-24
33890,Engineer,1991-03-04,2000-03-03
33890,Senior Engineer,2000-03-03,9999-01-01
33909,Engineer,1993-05-09,2001-05-09
33909,Senior Engineer,2001-05-09,9999-01-01
33922,Engineer,1991-05-22,1991-08-15
33926,Assistant Engineer,1986-03-18,1991-03-18
33926,Engineer,1991-03-18,1996-03-17
33926,Senior Engineer,1996-03-17,9999-01-01
33941,Senior Staff,1989-09-28,9999-01-01
33944,Senior Engineer,1992-11-09,9999-01-01
33955,Senior Staff,1998-01-28,9999-01-01
33955,Staff,1989-01-28,1998-01-28
33956,Assistant Engineer,1989-05-22,1990-02-27
33967,Assistant Engineer,1993-04-13,2002-04-13
33967,Engineer,2002-04-13,9999-01-01
33968,Senior Staff,1999-01-17,9999-01-01
33969,Senior Staff,1998-01-05,1998-03-19
33969,Staff,1989-01-05,1998-01-05
33974,Senior Engineer,1998-09-21,9999-01-01
33983,Engineer,1990-03-11,1995-03-11
33983,Senior Engineer,1995-03-11,9999-01-01
34006,Senior Engineer,1987-12-11,9999-01-01
34016,Senior Staff,2001-12-02,9999-01-01
34016,Staff,1993-12-02,2001-12-02
34030,Staff,1998-09-25,9999-01-01
34037,Senior Staff,1999-09-12,2000-01-12
34037,Staff,1992-09-11,1999-09-12
34044,Technique Leader,1992-05-17,9999-01-01
34052,Senior Staff,2001-07-06,9999-01-01
34052,Staff,1996-07-06,2001-07-06
34053,Technique Leader,1989-06-14,9999-01-01
34059,Senior Engineer,1985-02-10,1985-03-23
34066,Engineer,1989-09-09,1997-09-09
34066,Senior Engineer,1997-09-09,9999-01-01
34072,Senior Staff,2000-04-04,9999-01-01
34072,Staff,1994-04-05,2000-04-04
34076,Engineer,1987-07-22,1991-06-03
34077,Senior Staff,1997-11-16,9999-01-01
34077,Staff,1988-11-16,1997-11-16
34125,Senior Engineer,1998-10-18,1999-10-21
34128,Senior Staff,1997-12-09,9999-01-01
34128,Staff,1989-12-09,1997-12-09
34130,Engineer,1996-03-05,9999-01-01
34132,Senior Staff,1995-11-07,9999-01-01
34136,Senior Staff,2000-02-10,9999-01-01
34136,Staff,1994-02-10,2000-02-10
34138,Senior Engineer,1996-04-15,9999-01-01
34144,Senior Staff,2001-12-06,9999-01-01
34144,Staff,1994-12-06,2001-12-06
34175,Staff,1999-10-24,9999-01-01
34183,Engineer,1992-12-21,2000-12-21
34183,Senior Engineer,2000-12-21,9999-01-01
34200,Assistant Engineer,1990-07-25,1997-07-25
34200,Engineer,1997-07-25,9999-01-01
34206,Engineer,1994-03-12,9999-01-01
34221,Technique Leader,1986-08-26,1991-10-08
34223,Senior Staff,2002-03-30,9999-01-01
34223,Staff,1997-03-30,2002-03-30
34240,Senior Staff,1993-05-16,9999-01-01
34240,Staff,1988-05-16,1993-05-16
34241,Senior Staff,1996-09-27,9999-01-01
34254,Senior Engineer,1993-12-03,9999-01-01
34262,Staff,1991-12-25,1993-06-12
34282,Senior Staff,1988-11-10,9999-01-01
34294,Engineer,1995-03-15,2000-03-14
34294,Senior Engineer,2000-03-14,9999-01-01
34307,Technique Leader,1988-08-28,9999-01-01
34317,Engineer,1996-01-06,9999-01-01
34318,Staff,1999-06-08,2000-06-08
34346,Senior Staff,1995-10-15,9999-01-01
34346,Staff,1989-10-15,1995-10-15
34370,Staff,1993-12-22,1998-03-25
34373,Technique Leader,1997-09-27,9999-01-01
34392,Engineer,1992-10-30,1993-11-10
34400,Technique Leader,1988-04-05,1991-02-13
34401,Engineer,1987-09-22,1996-09-21
34401,Senior Engineer,1996-09-21,9999-01-01
34404,Senior Staff,1987-10-23,9999-01-01
34406,Senior Staff,1997-11-26,9999-01-01
34406,Staff,1988-11-26,1997-11-26
34408,Engineer,1999-07-12,9999-01-01
34409,Engineer,1998-12-10,9999-01-01
34418,Staff,1997-06-27,9999-01-01
34427,Staff,1999-05-22,9999-01-01
34442,Senior Staff,1996-04-02,9999-01-01
34442,Staff,1990-04-04,1996-04-02
34450,Staff,1999-08-10,9999-01-01
34473,Engineer,1994-08-10,9999-01-01
34475,Staff,1994-08-07,2000-11-24
34476,Engineer,1986-07-28,1994-07-28
34476,Senior Engineer,1994-07-28,9999-01-01
34484,Senior Staff,1992-11-27,1998-03-08
34486,Senior Staff,1993-12-07,9999-01-01
34486,Staff,1988-12-07,1993-12-07
34487,Assistant Engineer,1996-08-26,9999-01-01
34497,Assistant Engineer,1990-02-26,1999-02-26
34497,Engineer,1999-02-26,9999-01-01
34511,Engineer,1987-02-24,1991-08-12
34512,Senior Engineer,1992-01-20,9999-01-01
34520,Senior Staff,1987-05-21,1993-06-28
34558,Staff,1997-12-03,9999-01-01
34588,Senior Staff,1998-12-02,9999-01-01
34588,Staff,1991-12-02,1998-12-02
34618,Engineer,1988-05-13,1996-05-13
34618,Senior Engineer,1996-05-13,9999-01-01
34640,Senior Staff,1997-11-26,9999-01-01
34640,Staff,1989-11-26,1997-11-26
34641,Senior Engineer,1985-10-27,9999-01-01
34662,Engineer,1996-07-06,2002-07-06
34662,Senior Engineer,2002-07-06,9999-01-01
34679,Senior Staff,2001-04-14,9999-01-01
34679,Staff,1994-04-14,2001-04-14
34687,Engineer,1986-10-24,1987-07-27
34689,Engineer,1993-03-26,1998-03-26
34689,Senior Engineer,1998-03-26,9999-01-01
34714,Engineer,1998-09-12,9999-01-01
34721,Engineer,1990-07-08,1996-07-07
34721,Senior Engineer,1996-07-07,1999-07-19
34785,Assistant Engineer,1985-06-02,1994-06-02
34785,Engineer,1994-06-02,9999-01-01
34796,Staff,1994-08-26,1996-06-23
34807,Senior Staff,2001-02-26,9999-01-01
34807,Staff,1994-02-26,2001-02-26
34844,Senior Engineer,1986-01-16,9999-01-01
34847,Senior Engineer,1992-11-05,9999-01-01
34853,Engineer,1992-03-17,2001-03-17
34853,Senior Engineer,2001-03-17,9999-01-01
34861,Technique Leader,1992-03-29,9999-01-01
34866,Senior Staff,2000-07-28,9999-01-01
34866,Staff,1994-07-29,2000-07-28
34872,Senior Engineer,1990-04-16,1993-06-02
34877,Engineer,1989-08-12,1995-08-12
34877,Senior Engineer,1995-08-12,9999-01-01
34886,Senior Staff,1996-11-04,9999-01-01
34886,Staff,1990-11-05,1996-11-04
34894,Engineer,1988-05-23,1993-05-23
34894,Senior Engineer,1993-05-23,9999-01-01
34898,Senior Staff,1998-10-22,9999-01-01
34898,Staff,1989-10-22,1998-10-22
34905,Staff,1997-11-22,9999-01-01
34929,Senior Staff,1999-03-09,9999-01-01
34929,Staff,1993-03-09,1999-03-09
34930,Staff,1986-08-19,1987-12-31
34960,Senior Staff,1985-07-22,9999-01-01
34974,Senior Staff,1997-02-25,9999-01-01
34989,Assistant Engineer,1988-02-03,1996-02-03
34989,Engineer,1996-02-03,9999-01-01
34995,Engineer,1989-08-09,1992-10-14
35001,Engineer,1994-01-16,1999-01-16
35001,Senior Engineer,1999-01-16,9999-01-01
35037,Engineer,1991-10-14,1996-10-13
35037,Senior Engineer,1996-10-13,9999-01-01
35066,Staff,1999-09-25,9999-01-01
35079,Staff,1987-06-30,1990-01-23
35094,Senior Staff,1998-04-02,9999-01-01
35094,Staff,1989-04-02,1998-04-02
35104,Senior Staff,1994-05-22,1994-07-12
35104,Staff,1987-05-22,1994-05-22
35107,Engineer,1987-04-02,1996-04-01
35107,Senior Engineer,1996-04-01,9999-01-01
35119,Senior Engineer,1989-02-16,9999-01-01
35120,Staff,1998-06-13,9999-01-01
35150,Senior Staff,1998-09-08,9999-01-01
35150,Staff,1992-09-08,1998-09-08
35155,Senior Staff,1990-05-08,9999-01-01
35162,Engineer,1992-08-03,2000-08-03
35162,Senior Engineer,2000-08-03,9999-01-01
35163,Engineer,1992-10-30,1999-10-31
35163,Senior Engineer,1999-10-31,9999-01-01
35164,Technique Leader,1995-08-09,9999-01-01
35171,Senior Staff,1993-03-09,1999-12-23
35171,Staff,1988-03-09,1993-03-09
35183,Senior Staff,1990-04-22,9999-01-01
35191,Senior Staff,1997-10-24,9999-01-01
35191,Staff,1990-10-24,1997-10-24
35192,Senior Staff,1999-08-10,9999-01-01
35192,Staff,1992-08-09,1999-08-10
35193,Senior Staff,2002-06-03,9999-01-01
35193,Staff,1996-06-03,2002-06-03
35207,Engineer,1990-01-29,1998-01-29
35207,Senior Engineer,1998-01-29,9999-01-01
35213,Staff,1992-05-10,1999-10-22
35216,Technique Leader,1995-08-12,9999-01-01
35239,Senior Staff,2002-02-08,9999-01-01
35239,Staff,1994-02-08,2002-02-08
35255,Engineer,1997-08-30,2001-10-24
35276,Engineer,1995-03-13,2000-03-12
35276,Senior Engineer,2000-03-12,9999-01-01
35278,Senior Staff,1995-08-04,9999-01-01
35279,Senior Staff,2001-12-24,9999-01-01
35279,Staff,1994-12-24,2001-12-24
35292,Assistant Engineer,1996-12-12,9999-01-01
35298,Engineer,2000-01-17,9999-01-01
35328,Senior Engineer,1995-04-27,1999-05-17
35359,Engineer,1994-12-02,9999-01-01
35388,Staff,1998-04-01,9999-01-01
35391,Senior Staff,2001-12-01,9999-01-01
35391,Staff,1994-12-01,2001-12-01
35415,Senior Staff,1990-06-18,9999-01-01
35417,Senior Staff,2002-01-14,9999-01-01
35417,Staff,1996-01-15,2002-01-14
35433,Engineer,1999-08-26,9999-01-01
35434,Senior Staff,1994-03-10,1997-09-17
35434,Staff,1988-03-10,1994-03-10
35461,Engineer,1995-06-13,2001-06-12
35461,Senior Engineer,2001-06-12,9999-01-01
35472,Senior Staff,1999-03-04,9999-01-01
35472,Staff,1992-03-03,1999-03-04
35473,Senior Staff,1995-08-10,9999-01-01
35474,Staff,1998-12-20,9999-01-01
35484,Engineer,1995-02-03,9999-01-01
35488,Senior Engineer,1985-11-09,9999-01-01
35493,Senior Staff,1995-08-15,9999-01-01
35493,Staff,1990-08-15,1995-08-15
35507,Senior Engineer,1994-11-08,9999-01-01
35517,Senior Staff,1992-05-08,9999-01-01
35517,Staff,1985-05-08,1992-05-08
35525,Senior Engineer,1995-09-10,9999-01-01
35548,Engineer,1993-06-13,2001-06-13
35548,Senior Engineer,2001-06-13,9999-01-01
35554,Senior Staff,1996-07-06,9999-01-01
35554,Staff,1989-07-06,1996-07-06
35560,Senior Engineer,1987-06-21,9999-01-01
35574,Staff,1997-10-22,9999-01-01
35594,Senior Staff,2000-02-03,9999-01-01
35594,Staff,1995-02-03,2000-02-03
35599,Staff,1985-07-06,1991-06-08
35620,Senior Staff,2001-12-02,9999-01-01
35620,Staff,1992-12-02,2001-12-02
35626,Engineer,1986-12-13,1995-12-13
35626,Senior Engineer,1995-12-13,9999-01-01
35657,Assistant Engineer,1989-05-25,1996-05-25
35657,Engineer,1996-05-25,2000-09-07
35664,Engineer,1986-03-16,1995-03-16
35664,Senior Engineer,1995-03-16,9999-01-01
35672,Assistant Engineer,1989-07-27,1998-07-27
35672,Engineer,1998-07-27,9999-01-01
35675,Engineer,1998-02-27,2000-01-06
35676,Engineer,1992-10-25,1999-10-26
35676,Senior Engineer,1999-10-26,9999-01-01
35700,Technique Leader,1991-09-02,9999-01-01
35741,Senior Staff,1990-06-07,9999-01-01
35764,Engineer,1994-04-16,2001-04-16
35764,Senior Engineer,2001-04-16,9999-01-01
35784,Senior Staff,1997-02-05,1999-02-15
35790,Assistant Engineer,1985-08-08,1990-08-08
35790,Engineer,1990-08-08,1995-08-08
35790,Senior Engineer,1995-08-08,9999-01-01
35793,Senior Staff,1996-05-10,9999-01-01
35793,Staff,1991-05-11,1996-05-10
35797,Engineer,1988-07-11,1994-07-11
35797,Senior Engineer,1994-07-11,9999-01-01
35812,Staff,1999-11-24,2001-06-27
35818,Senior Staff,1993-06-26,9999-01-01
35829,Engineer,1998-09-24,9999-01-01
35831,Engineer,1999-01-13,9999-01-01
35837,Engineer,1987-01-25,1993-01-24
35837,Senior Engineer,1993-01-24,9999-01-01
35842,Technique Leader,1997-07-19,9999-01-01
35848,Senior Staff,1999-04-16,9999-01-01
35848,Staff,1992-04-15,1999-04-16
35867,Engineer,1991-05-20,1996-05-19
35867,Senior Engineer,1996-05-19,1997-08-25
35868,Engineer,1992-01-17,1999-01-17
35868,Senior Engineer,1999-01-17,9999-01-01
35873,Engineer,1992-03-24,1999-03-25
35873,Senior Engineer,1999-03-25,9999-01-01
35881,Engineer,1992-08-30,1997-08-30
35881,Senior Engineer,1997-08-30,9999-01-01
35885,Senior Staff,1997-03-17,1997-12-11
35885,Staff,1991-03-18,1997-03-17
35900,Senior Staff,1996-07-31,9999-01-01
35900,Staff,1990-08-01,1996-07-31
35902,Assistant Engineer,1989-06-08,1998-06-08
35902,Engineer,1998-06-08,9999-01-01
35909,Engineer,1988-03-09,1996-03-09
35909,Senior Engineer,1996-03-09,9999-01-01
35911,Engineer,1989-03-12,1995-03-12
35911,Senior Engineer,1995-03-12,9999-01-01
35921,Technique Leader,1988-09-25,9999-01-01
35959,Staff,1997-10-11,9999-01-01
35965,Senior Engineer,1988-09-14,9999-01-01
35971,Technique Leader,1999-09-14,9999-01-01
35972,Senior Staff,1997-08-13,9999-01-01
35972,Staff,1990-08-13,1997-08-13
35990,Engineer,1993-04-13,2002-04-13
35990,Senior Engineer,2002-04-13,9999-01-01
35996,Senior Engineer,1997-06-17,9999-01-01
36014,Staff,1998-07-20,9999-01-01
36074,Engineer,1997-08-23,9999-01-01
36082,Staff,1999-10-18,9999-01-01
36089,Senior Engineer,1999-10-18,9999-01-01
36097,Senior Staff,1994-08-20,9999-01-01
36097,Staff,1987-08-20,1994-08-20
36101,Engineer,1990-03-11,1999-03-11
36101,Senior Engineer,1999-03-11,9999-01-01
36112,Staff,1998-01-20,1998-10-21
36124,Senior Engineer,1991-02-03,9999-01-01
36128,Engineer,1998-03-22,9999-01-01
36139,Staff,1999-01-31,2002-07-17
36182,Engineer,1985-05-16,1993-05-16
36182,Senior Engineer,1993-05-16,9999-01-01
36191,Engineer,1991-09-08,1997-09-07
36191,Senior Engineer,1997-09-07,9999-01-01
36198,Engineer,1990-05-25,1991-10-18
36200,Engineer,1986-03-10,1991-03-10
36200,Senior Engineer,1991-03-10,9999-01-01
36204,Staff,1997-09-29,9999-01-01
36214,Senior Staff,1995-08-20,9999-01-01
36214,Staff,1989-08-20,1995-08-20
36220,Senior Staff,1998-12-27,9999-01-01
36220,Staff,1991-12-27,1998-12-27
36237,Engineer,1986-05-06,1993-05-06
36237,Senior Engineer,1993-05-06,1999-05-25
36242,Assistant Engineer,1994-12-24,2000-12-23
36242,Engineer,2000-12-23,9999-01-01
36243,Senior Engineer,1985-08-16,1994-04-24
36257,Technique Leader,1994-09-12,9999-01-01
36258,Senior Staff,2001-11-01,9999-01-01
36258,Staff,1994-11-01,2001-11-01
36268,Senior Staff,2000-12-22,9999-01-01
36268,Staff,1994-12-23,2000-12-22
36274,Staff,1996-09-06,9999-01-01
36276,Staff,1999-01-29,9999-01-01
36282,Technique Leader,1989-11-07,9999-01-01
36284,Staff,1995-08-06,9999-01-01
36288,Senior Staff,1999-04-06,9999-01-01
36288,Staff,1991-04-06,1999-04-06
36292,Senior Staff,1994-09-17,9999-01-01
36292,Staff,1985-09-17,1994-09-17
36312,Senior Staff,1996-12-30,9999-01-01
36312,Staff,1987-12-31,1996-12-30
36315,Engineer,1986-07-03,1991-07-03
36315,Senior Engineer,1991-07-03,9999-01-01
36328,Staff,1994-03-20,9999-01-01
36333,Staff,1996-10-17,9999-01-01
36341,Technique Leader,1999-09-05,2001-07-19
36361,Senior Staff,1996-09-15,9999-01-01
36361,Staff,1987-09-16,1996-09-15
36366,Senior Staff,2002-01-25,9999-01-01
36366,Staff,1994-01-25,2002-01-25
36396,Engineer,1991-05-22,1998-05-22
36396,Senior Engineer,1998-05-22,9999-01-01
36403,Senior Staff,1999-02-09,9999-01-01
36422,Engineer,1994-05-18,2001-05-18
36422,Senior Engineer,2001-05-18,9999-01-01
36435,Senior Staff,1999-03-29,9999-01-01
36435,Staff,1991-03-29,1999-03-29
36436,Engineer,1989-04-16,1995-04-16
36436,Senior Engineer,1995-04-16,9999-01-01
36451,Engineer,1998-03-05,9999-01-01
36456,Technique Leader,1994-06-06,1994-08-30
36469,Assistant Engineer,1996-09-04,9999-01-01
36496,Engineer,1995-07-29,9999-01-01
36505,Engineer,1992-10-27,1998-10-27
36505,Senior Engineer,1998-10-27,9999-01-01
36516,Engineer,1985-11-28,1992-11-28
36516,Senior Engineer,1992-11-28,9999-01-01
36518,Senior Staff,1994-03-27,9999-01-01
36550,Senior Staff,1998-11-16,9999-01-01
36550,Staff,1990-11-16,1998-11-16
36556,Engineer,1986-09-16,1991-09-16
36556,Senior Engineer,1991-09-16,1996-12-04
36576,Senior Engineer,1989-05-01,9999-01-01
36627,Technique Leader,1988-12-06,9999-01-01
36629,Engineer,1986-10-01,1991-10-01
36629,Senior Engineer,1991-10-01,1997-02-04
36632,Engineer,1992-04-16,2000-04-16
36632,Senior Engineer,2000-04-16,9999-01-01
36636,Assistant Engineer,1993-10-08,2001-10-08
36636,Engineer,2001-10-08,9999-01-01
36657,Senior Engineer,1991-04-22,9999-01-01
36661,Senior Engineer,1995-12-02,1997-02-24
36662,Staff,1998-03-03,9999-01-01
36663,Engineer,1986-01-25,1992-01-25
36663,Senior Engineer,1992-01-25,9999-01-01
36669,Staff,1998-12-24,9999-01-01
36673,Engineer,1987-04-22,1992-04-21
36673,Senior Engineer,1992-04-21,9999-01-01
36686,Senior Engineer,1987-07-27,9999-01-01
36694,Engineer,1998-08-13,9999-01-01
36697,Senior Staff,1998-07-13,9999-01-01
36697,Staff,1992-07-13,1998-07-13
36703,Engineer,1997-05-30,2002-05-30
36703,Senior Engineer,2002-05-30,9999-01-01
36708,Engineer,1997-09-13,9999-01-01
36712,Engineer,1999-01-04,9999-01-01
36734,Engineer,1992-07-25,1997-04-11
36754,Engineer,1990-05-28,1998-05-28
36754,Senior Engineer,1998-05-28,9999-01-01
36757,Staff,1996-02-22,1997-05-11
36760,Assistant Engineer,1985-07-14,1992-07-14
36760,Engineer,1992-07-14,1999-07-15
36760,Senior Engineer,1999-07-15,9999-01-01
36768,Engineer,1999-01-01,9999-01-01
36771,Staff,1997-02-27,9999-01-01
36772,Engineer,1988-01-10,1997-01-09
36772,Senior Engineer,1997-01-09,9999-01-01
36776,Senior Staff,1993-01-28,9999-01-01
36776,Staff,1987-01-29,1993-01-28
36779,Engineer,1990-01-20,1999-01-20
36779,Senior Engineer,1999-01-20,9999-01-01
36782,Engineer,1991-03-04,1999-03-04
36782,Senior Engineer,1999-03-04,9999-01-01
36788,Engineer,1994-08-31,2000-08-30
36788,Senior Engineer,2000-08-30,9999-01-01
36809,Engineer,1990-01-23,1995-01-23
36809,Senior Engineer,1995-01-23,9999-01-01
36831,Assistant Engineer,1989-04-05,1998-04-04
36831,Engineer,1998-04-04,9999-01-01
36838,Senior Staff,1991-02-26,9999-01-01
36838,Staff,1986-02-26,1991-02-26
36840,Engineer,1999-03-03,9999-01-01
36873,Engineer,1987-12-20,1993-12-19
36873,Senior Engineer,1993-12-19,2001-02-24
36878,Engineer,1990-02-03,1996-02-03
36878,Senior Engineer,1996-02-03,9999-01-01
36888,Senior Staff,1995-09-24,1999-11-09
36888,Staff,1988-09-23,1995-09-24
36890,Engineer,1991-05-06,1999-05-06
36890,Senior Engineer,1999-05-06,9999-01-01
36907,Engineer,1990-04-13,1999-04-13
36907,Senior Engineer,1999-04-13,9999-01-01
36921,Senior Engineer,1998-07-06,9999-01-01
36924,Staff,2000-01-16,9999-01-01
36933,Engineer,1985-12-02,1994-12-02
36933,Senior Engineer,1994-12-02,9999-01-01
36941,Engineer,1995-05-30,2001-05-29
36941,Senior Engineer,2001-05-29,9999-01-01
36950,Engineer,1999-12-11,9999-01-01
36951,Engineer,1985-09-14,1994-09-14
36951,Senior Engineer,1994-09-14,9999-01-01
36953,Senior Staff,2001-07-23,9999-01-01
36953,Staff,1992-07-23,2001-07-23
36965,Senior Engineer,1989-05-11,9999-01-01
36996,Staff,1998-12-03,9999-01-01
37061,Senior Staff,1997-04-12,9999-01-01
37061,Staff,1990-04-12,1997-04-12
37064,Assistant Engineer,1990-06-06,1995-06-06
37064,Engineer,1995-06-06,2000-06-05
37064,Senior Engineer,2000-06-05,9999-01-01
37113,Senior Staff,1989-02-24,1997-12-03
37130,Engineer,1999-01-17,9999-01-01
37133,Senior Staff,1997-08-27,9999-01-01
37147,Staff,1994-10-07,9999-01-01
37173,Engineer,1994-09-29,1994-11-14
37194,Senior Staff,1995-06-04,9999-01-01
37194,Staff,1990-06-04,1995-06-04
37202,Senior Staff,1995-08-10,9999-01-01
37202,Staff,1986-08-10,1995-08-10
37204,Engineer,1993-08-06,1999-08-06
37204,Senior Engineer,1999-08-06,9999-01-01
37208,Senior Staff,2001-10-30,9999-01-01
37208,Staff,1993-10-31,2001-10-30
37210,Staff,1988-12-28,1994-11-19
37213,Engineer,1989-08-31,1996-08-31
37213,Senior Engineer,1996-08-31,9999-01-01
37233,Senior Staff,1986-08-11,9999-01-01
37248,Engineer,1995-04-08,9999-01-01
37250,Technique Leader,1996-12-16,2000-08-22
37272,Staff,1998-10-01,9999-01-01
37276,Staff,1999-06-01,9999-01-01
37278,Senior Staff,1997-06-09,9999-01-01
37278,Staff,1988-06-09,1997-06-09
37296,Senior Staff,2001-11-01,9999-01-01
37296,Staff,1992-11-01,2001-11-01
37320,Senior Staff,1996-01-04,9999-01-01
37320,Staff,1987-01-04,1996-01-04
37357,Senior Staff,1999-11-19,9999-01-01
37357,Staff,1993-11-19,1999-11-19
37361,Senior Engineer,1996-07-23,1996-09-30
37363,Senior Staff,1993-03-16,9999-01-01
37364,Senior Engineer,1994-07-25,9999-01-01
37366,Engineer,1991-10-24,1999-10-24
37366,Senior Engineer,1999-10-24,9999-01-01
37380,Senior Staff,1998-06-28,2001-05-14
37382,Senior Staff,2001-10-25,9999-01-01
37382,Staff,1993-10-25,2001-10-25
37389,Senior Staff,2000-06-01,9999-01-01
37389,Staff,1995-06-02,2000-06-01
37402,Senior Staff,1998-02-15,9999-01-01
37402,Staff,1993-02-15,1998-02-15
37410,Staff,1988-02-05,1993-12-10
37473,Senior Staff,1999-02-16,9999-01-01
37473,Staff,1994-02-16,1999-02-16
37497,Senior Staff,1998-06-08,9999-01-01
37497,Staff,1991-06-08,1998-06-08
37533,Senior Staff,1990-07-16,9999-01-01
37539,Engineer,1994-07-25,9999-01-01
37544,Technique Leader,1988-09-16,2001-06-28
37547,Senior Staff,1999-08-22,9999-01-01
37573,Senior Staff,1992-11-25,9999-01-01
37573,Staff,1987-11-26,1992-11-25
37591,Assistant Engineer,1997-03-18,1998-09-23
37607,Staff,1998-04-24,9999-01-01
37611,Engineer,1999-11-09,9999-01-01
37614,Engineer,1985-12-24,1986-04-13
37621,Senior Engineer,1990-06-20,2001-02-02
37635,Assistant Engineer,1988-12-18,1993-12-18
37635,Engineer,1993-12-18,1998-12-18
37635,Senior Engineer,1998-12-18,9999-01-01
37650,Engineer,1992-08-21,1998-08-21
37650,Senior Engineer,1998-08-21,1998-10-23
37654,Senior Engineer,1997-04-12,9999-01-01
37657,Engineer,1987-10-22,1992-10-21
37657,Senior Engineer,1992-10-21,9999-01-01
37659,Senior Engineer,1986-10-04,9999-01-01
37668,Staff,1994-07-03,1995-07-10
37674,Senior Staff,2000-05-24,9999-01-01
37674,Staff,1993-05-24,2000-05-24
37677,Staff,1995-07-20,1998-07-30
37686,Staff,1993-04-08,1995-11-16
37688,Engineer,1990-04-18,1996-04-17
37688,Senior Engineer,1996-04-17,1997-08-31
37689,Engineer,1990-02-22,1999-02-22
37689,Senior Engineer,1999-02-22,9999-01-01
37702,Senior Engineer,1985-08-20,9999-01-01
37708,Engineer,1991-07-29,1997-07-12
37711,Engineer,1988-04-03,1996-04-03
37711,Senior Engineer,1996-04-03,9999-01-01
37748,Engineer,1993-06-07,2002-05-06
37759,Technique Leader,1995-10-16,9999-01-01
37762,Engineer,1992-12-06,1997-12-06
37762,Senior Engineer,1997-12-06,2002-02-21
37771,Staff,1996-05-03,1999-04-25
37784,Senior Staff,1998-04-20,9999-01-01
37784,Staff,1989-04-20,1998-04-20
37789,Senior Staff,1990-03-24,9999-01-01
37790,Engineer,1999-06-27,9999-01-01
37799,Engineer,1998-10-02,9999-01-01
37803,Staff,1996-11-07,9999-01-01
37828,Staff,1998-03-16,9999-01-01
37833,Engineer,1989-02-28,1997-02-28
37833,Senior Engineer,1997-02-28,9999-01-01
37834,Engineer,1994-11-22,2000-11-21
37834,Senior Engineer,2000-11-21,9999-01-01
37841,Engineer,1994-07-24,9999-01-01
37848,Senior Engineer,1991-11-05,9999-01-01
37877,Senior Staff,1988-04-08,1991-09-16
37885,Senior Staff,1996-06-20,9999-01-01
37887,Engineer,1988-05-09,1997-05-09
37887,Senior Engineer,1997-05-09,9999-01-01
37888,Staff,1994-11-28,9999-01-01
37907,Senior Engineer,1993-08-28,9999-01-01
37911,Senior Engineer,1994-11-03,9999-01-01
37917,Senior Staff,1997-03-22,9999-01-01
37917,Staff,1988-03-22,1997-03-22
37920,Senior Engineer,1985-08-17,9999-01-01
37937,Senior Staff,1987-08-09,9999-01-01
37949,Engineer,1995-03-30,2001-03-29
37949,Senior Engineer,2001-03-29,9999-01-01
37982,Senior Staff,2002-07-11,9999-01-01
37982,Staff,1996-07-11,2002-07-11
37991,Engineer,1985-04-16,1994-04-16
37991,Senior Engineer,1994-04-16,1997-12-09
37998,Staff,1999-06-13,9999-01-01
38000,Staff,1993-05-10,1997-02-18
38002,Staff,1990-12-20,1994-07-21
38006,Engineer,1985-08-11,1991-08-11
38006,Senior Engineer,1991-08-11,9999-01-01
38008,Senior Staff,1985-09-14,9999-01-01
38025,Staff,1993-12-26,9999-01-01
38040,Engineer,1991-01-27,1999-01-27
38040,Senior Engineer,1999-01-27,9999-01-01
38057,Senior Staff,2000-04-19,9999-01-01
38057,Staff,1992-04-19,2000-04-19
38061,Engineer,1997-12-16,1999-05-09
38063,Engineer,1997-02-11,9999-01-01
38072,Engineer,1995-10-13,2000-10-12
38072,Senior Engineer,2000-10-12,9999-01-01
38082,Senior Engineer,1996-03-15,9999-01-01
38091,Staff,1996-05-24,9999-01-01
38101,Senior Staff,1994-01-17,9999-01-01
38101,Staff,1986-01-17,1994-01-17
38115,Engineer,1996-07-03,9999-01-01
38124,Senior Engineer,1985-08-16,9999-01-01
38141,Assistant Engineer,1994-12-22,9999-01-01
38150,Senior Engineer,1998-10-03,9999-01-01
38154,Senior Staff,1994-01-21,9999-01-01
38154,Staff,1989-01-21,1994-01-21
38157,Senior Staff,1992-05-27,9999-01-01
